LAT	LON	A2023	A2022	A2021	A2020	A2019	A2018	A2017	A2016	A2015	A2014	A2013	A2012	A2011	A2010	A2009	A2008	A2007	A2006	A2005	A2004	A2003	A2002	A2001	A2000
4.25	2.75	24.95	73.45	46.98	42.8	32.8	47.16	34.16	38.43	32.25	26.33	20.82	31.2	27.19	27.18	32.69	40.32	27.41	31.01	22.49	29.74	31.33	57.5	51.39	31.69
4.25	3.25	26.23	66.83	48.41	57.77	32.47	54.96	37.16	43.2	29.36	25.36	22.35	29.62	23.89	30.76	31.6	39	29.16	28.58	25.07	29.95	29.97	53.03	56.23	34.54
4.25	3.75	28.27	40.24	60.38	79.31	38.24	62.96	37.55	38.38	32.32	26.48	22.78	29.45	23.99	33.24	25.13	32.52	31.53	31.82	27.58	29.74	28.82	54.82	52.44	35.07
4.25	4.25	26.94	37.36	47.78	62.65	41.39	80.33	44.04	52.82	31.53	34.3	28.36	32.9	26.43	32.84	32.96	32.33	32.5	35.75	28.7	29.4	27.29	62.16	43.24	33.41
4.25	4.75	30.82	57.65	79.44	111.98	59.26	181.07	123.62	74.33	38.28	33.26	40.15	31.44	32.43	45.97	41.46	25.54	57.04	38.96	23.03	37.63	35.86	52.88	50.56	49.56
4.25	5.25	45.2	73.77	141.93	158.08	80.74	265.88	217.14	77.7	46.29	40.62	49.11	35.36	37.61	65.53	60.74	33.99	89.09	50.35	34.69	54	52.22	42.37	65.21	66.86
4.25	5.75	63.17	81.04	206.36	153.9	108.89	263.04	289.22	62.69	52.69	45.3	59.92	49.49	46.56	79.23	75.61	44.62	130.53	54.86	45.12	65.34	67.2	48.83	72.16	83.54
4.25	6.25	76.29	88.44	258.9	133.2	109.67	240.94	305.82	51.76	57.2	46.05	59.22	54.38	52.6	78.86	90.38	44.78	154.73	58.31	57.6	63.69	78.77	52.02	68.04	78.27
4.25	6.75	99.59	72.97	195.05	107.26	120.9	224.84	178.43	52.46	48.37	46.71	58.63	54.22	53.59	80.16	81.92	44.26	158.02	60.03	55.47	62.44	74.66	52.72	65.18	74.94
4.25	7.25	93.97	67.64	119.55	86.04	92.06	161.99	145.66	54.13	54.15	41.94	58.82	55.05	50.41	82.35	67.95	40.33	145.77	62.03	51.98	51.64	57.29	48.61	67.36	67.27
4.25	7.75	73.12	117.09	108.93	79.75	65.88	114.58	79.17	69.41	69.99	75.04	57.16	67.73	66.05	77.25	61.52	36.38	121.32	67.02	53.57	40.1	39.71	46.56	65.99	64.26
4.25	8.25	103.44	135.44	161.12	116	86.4	101.17	90.26	79.12	100.56	95.68	62.2	84.27	87.79	65.44	58.82	43.93	102.27	83.89	63.03	55.69	43.46	66.3	81.39	59.23
4.25	8.75	114.32	199.04	182.35	156.51	131.07	96.67	125.09	124.41	197.67	71.51	85.59	79.43	105.49	60.31	59.55	47.61	120.58	131.95	89.03	58.39	48.08	77.33	118.6	57.64
4.25	9.25	100.67	139.62	176.05	139.4	103.2	105.07	96.81	85.73	150.71	78.93	77.41	81.64	92.58	52.89	58.15	43.47	99.33	109	72.94	57.82	44.56	76.11	97.22	57.21
4.25	9.75	72.57	140.63	146.69	136.16	85.01	74.54	83.89	85.13	149.65	55.72	64.83	63.03	85.18	47.95	48.96	37.42	90.22	95.92	70.02	48.03	40.15	64.94	90.45	45.34
4.25	10.25	47.56	123.58	103.94	116.47	57.2	39.5	68.49	69.04	114.13	37.16	44.3	47.79	67.74	37.1	35.47	31.01	66.1	68.44	55.81	33.16	31.85	45.86	70.33	48.32
4.25	10.75	48.88	76.93	62.95	82.79	39.56	37.39	36.2	37.07	47.31	24.03	25.53	35.07	43.46	26.21	25.33	21.38	37.16	46.12	30.37	23.71	21.28	38.08	38.07	40.79
4.75	-16.75	38.19	43.32	75.64	105.71	100.46	81.95	52.61	34.49	28.87	39.85	32.62	25.76	43.76	41.27	39.13	36.14	26.43	40.45	29.94	33.24	48.77	50.32	43.73	47.87
4.75	-16.25	79.38	64.9	99.42	76.92	113.47	50.48	47.8	38.78	30.68	45.68	37.2	27.9	44.2	36.92	39.43	40.85	28.43	46.22	24.53	34.89	50.08	52.58	44.86	45.6
4.75	-15.75	105.31	84.17	87.22	77.79	60.97	46.2	45.11	47.58	43.47	49.49	41.12	35.08	42.03	33.55	36.96	45.12	30.19	66.59	24.62	34.17	55.15	42.79	40.07	46.08
4.75	-15.25	104.34	66.02	63.04	112.61	42	52.26	37.84	52.75	48.47	49.85	46.8	40.06	40.88	34.11	33.62	48.63	31.3	65.6	23.22	31.71	56.54	38.25	34.24	43.7
4.75	-14.75	95.97	57.9	65.59	108.33	38.83	47.67	42.45	50.14	45.31	46.49	47.39	40.32	40.94	35.49	29.85	48.96	31.32	53.42	20.87	28.21	56.89	37.78	30.53	40.92
4.75	-14.25	60.46	49.88	90.83	73.44	46.08	53.03	41.49	40.09	36.35	45.55	42.03	38.12	41.82	36.09	31.33	46.96	30.16	56.15	21.88	27.26	58.89	36.46	31.03	44.03
4.75	-13.75	39.97	61.43	84.88	52.22	70.21	40.26	43.03	36.72	36.92	46.54	32.77	37.81	42.51	35.88	35.34	43.78	27.99	67.05	22.9	28.66	60.76	33.95	31.34	46.1
4.75	-13.25	50.73	59.7	57.18	86.31	90.48	38.96	48.85	35.07	57.78	44.67	32.27	39.43	40.46	32.77	34.72	39.19	26.48	56.54	21.99	27.43	56.95	35.45	29.85	43.29
4.75	-12.75	63.57	46.72	62.35	97.32	72.47	49.82	48.66	51.79	65.97	41.87	27.87	37.97	34.52	27.75	43.22	35.75	24.47	43.97	19.42	21.45	50.08	34.84	34.9	41.25
4.75	-12.25	71.45	55.59	65.47	91.38	59.43	60.93	45.25	61.74	66.74	40.43	25.44	39.05	31.84	31.39	56.51	36.69	22.87	43.83	16.89	21.84	57.18	33.56	37.95	43.29
4.75	-11.75	67.77	58.7	50.03	74.05	56.06	64.51	40.76	63.7	60.5	44.89	30.91	46.51	33.38	36.04	63.02	37.9	21.94	51.56	18.24	25.55	63.17	32.52	37.42	47.29
4.75	-11.25	42.38	64.23	60.54	77.38	75.84	93.75	45.02	65.71	52.73	43.9	30.14	43.39	33.78	37.01	60.09	38.96	21.31	50.05	18.71	25.67	63.5	32.05	36.59	49.55
4.75	-10.75	30.56	49.98	66.01	97.81	98.53	107.91	40.74	69.73	53.66	42.72	31.71	43.86	37.61	38.55	57.56	45.67	20.04	49.65	19.53	29.59	56.74	31.5	40.19	53.42
4.75	-10.25	36.52	87.44	73.19	96.1	82.36	97.18	56.26	110.83	59.25	41.82	47.15	44.22	47.45	39.8	49.67	49.55	29.57	50.7	25.93	42.6	54.25	32.47	48	56.8
4.75	-9.75	44.11	105.7	84.68	123.16	54.61	69.17	70.69	135.31	78.92	42.29	57.1	43.98	53.17	40.86	40.54	50.73	47.57	51.3	36.65	65.45	68.7	34.04	54.2	60.53
4.75	-9.25	47.54	96.88	83.38	121.01	58.94	62.72	71.22	125.43	90.57	47.31	55.17	49.55	50.32	41.96	34.76	51.1	65.87	50.55	45.09	80.99	82.98	38.71	58.12	65.66
4.75	-8.75	49.83	92.48	85.43	172.91	62.7	56.27	57.98	76.4	88.15	55.25	48.17	58.98	39.49	46.25	29.75	65.17	76.76	48.56	56.26	77.32	88.16	42.14	66.87	73.46
4.75	-8.25	63.45	107.4	146.34	148.37	66.55	48.09	104.73	62.42	86.62	56.25	52.48	59.52	38.21	51.43	29.62	71.8	73.9	45.32	63.66	82.21	88.15	45.28	67.06	74.05
4.75	-7.75	80.27	147.31	188.38	151.27	64.76	52.17	152.35	57.48	93.9	63.6	55.03	51.22	39.26	73.29	29.33	76.22	73.82	47.98	68.27	75.8	82.6	42.66	69.7	67.42
4.75	-7.25	88.01	341.99	196.76	113.67	66.98	55.89	161.81	47.69	101.78	70.79	54.21	41.54	45.96	85.45	32.85	73.83	73.6	47.06	70.62	73.73	76.05	34.87	73.45	56.02
4.75	-6.75	110.63	682.94	164.65	95.55	75.67	57.96	129.71	52.86	106.97	79.47	50.88	39.63	47.52	75.91	38.05	67.28	70.81	54.96	73.84	72.04	70.65	30.28	76.48	50.68
4.75	-6.25	101	713.1	93.29	85.12	71.09	52.98	105.87	57.24	111.11	73.53	50.25	43.76	49.11	47.11	44.63	66.47	63.49	57.83	83.65	69.82	65.93	32.54	76.46	47.38
4.75	-5.75	104.94	368.03	76.26	73.23	85.61	44.62	75.7	48.52	127.81	65.29	51.16	43.54	53.53	37.73	46.86	67.86	53.84	54.84	88.32	63.04	55.1	30.79	68.44	43.1
4.75	-5.25	85.81	142.84	59.63	58.83	96.7	41.33	73.21	45.4	119.91	57.08	45.33	36.94	50.28	31.64	40.79	58.58	45.76	52.8	77.74	48.04	50.4	26.22	53.74	35.74
4.75	-4.75	57.81	70.24	45.22	43.74	83.8	37.69	65.74	42.95	93.74	49.07	37.4	29.37	43.42	27.31	31.33	45.21	34.04	51.56	61.05	32.68	44.32	29.25	37.27	33.11
4.75	-4.25	45.26	73.02	34.66	34.55	107.76	32.18	51.14	42.29	61.83	43.98	31.55	27.38	36.55	24.82	29.3	34.65	30.64	50.22	46.95	36.66	43.23	35.89	27.38	35.39
4.75	-3.75	55.62	63.2	30.87	42.28	97.17	29.63	61.43	45.68	42.91	44.35	31.51	33.41	37.59	27.28	36.34	34.11	29.91	47.12	43.75	36.51	41.82	41.7	31.53	42.74
4.75	-3.25	61.68	88.51	57.39	43.5	42.08	29.3	71.14	41.86	37.4	44.41	29.35	43.35	37.03	25.87	40.47	32.27	25.6	40.63	41.4	33.42	39.14	33.66	37.61	45.85
4.75	-2.75	65.2	102.58	59	38.03	26.23	27.75	61.48	40.16	33.63	46.18	25.61	42.05	35.65	24.48	43.94	28.14	24.78	37.41	35.25	30.94	39.97	34.51	42.01	40.58
4.75	-2.25	66.64	89.01	51.99	29.71	27.23	27.32	47.08	34.21	33.74	47.64	24.96	33.84	34.51	27.77	45.75	26.53	25.14	37.86	27.99	36.22	39.97	38.45	41.19	33.16
4.75	-1.75	67.3	57.34	41.33	32.87	31.44	27.75	36.47	29.82	36.43	48.3	25.3	28.67	34.32	29.72	44.11	29.14	26.13	36.46	25.95	40.36	38.24	41.73	43.17	34.79
4.75	-1.25	69.35	79.21	38.85	38.85	33.9	37.68	34.6	30.99	37.03	49.14	24.92	32.16	35.41	29.16	36.46	31.17	26.33	37.64	26.82	42.72	38.09	41.22	47.01	45.2
4.75	-0.75	61.91	96.21	38.13	39.15	30.79	53.76	31.87	29.7	38.84	47.1	23.58	35.49	37.84	27.6	39.63	29.27	27.24	42.89	28.07	48.45	32.29	42.68	47.78	55.2
4.75	-0.25	43.82	105.64	31.26	34.75	37.25	60.45	33.85	26.28	40.83	42.6	23.59	35.77	38.23	24.19	37.62	25.49	26.07	45.15	25.7	53.07	29.73	42.34	36.47	50.88
4.75	0.25	31.99	100.35	32.07	32.69	55.51	57.26	39.59	33.16	38.55	37.89	27.22	32.87	36.47	20.55	30.58	27.92	23.67	43.06	22.82	54.44	30.73	47.22	32.78	47.86
4.75	0.75	35.18	86.62	33.22	36	59.02	45.14	44.76	54.06	36.63	34.52	27.14	28.59	33.81	20.66	24.25	30.18	23.94	37.05	24.03	51.72	32.45	53.74	30.17	50.08
4.75	1.25	40.61	74.32	26.78	51.15	36.37	39.16	40.22	73.74	38.03	33.33	24.16	26.93	32.83	20.84	22.3	32.59	25.4	32.81	25.62	45.41	33.89	57.15	35.31	53.19
4.75	1.75	39.05	74.43	31.53	49.65	55.01	43.29	27.66	44.93	37.39	31.39	23.72	31.06	31.13	23.37	23.01	29.49	25.53	33.51	26.33	35.23	30.75	59.01	35.76	45.3
4.75	2.25	36.39	77.43	42.03	49.52	48	48.03	31.87	40.05	37.23	27.76	24.57	30.62	27.75	27.49	22.45	33.74	24.95	33.72	25.02	27.43	25.88	53.85	35.85	35.07
4.75	2.75	32.61	71.89	54.94	40.33	36.44	52.41	36.02	36.4	34.71	33.93	24.23	27.08	24.08	32.5	22.6	39.9	30.5	33.65	27.98	24.8	28.17	47.2	40.88	28.73
4.75	3.25	27.98	73.02	87.63	40.55	39.2	58.88	44.34	46.53	38.24	38.79	22.91	27.49	27.2	34.91	29.14	38.13	37.01	33.08	36.51	31.63	32.19	43.08	42.65	34.22
4.75	3.75	33.46	62.84	108.01	49.39	54.77	75.3	57.61	48.75	39.27	37.66	31.79	27.34	28.42	35.35	38.53	26.67	38.6	31.36	40.18	36.49	33.24	55.02	40.73	34.76
4.75	4.25	32.32	39.55	117.55	40.97	57.09	69.55	52.05	48.71	40.64	34.8	45.61	31.89	28.3	39.62	47.78	26.91	38.16	30.51	42.58	35.04	34.68	63.54	35.36	31.4
4.75	4.75	36.02	34.36	149.25	56.78	61.12	158.26	158.65	94.83	48.42	31.66	54.31	26.01	29.76	53.78	47.93	29.86	57.27	32.74	33.28	39.72	43.75	56.2	47.8	45.43
4.75	5.25	67.52	51.8	162.33	84	86.35	239.57	309.89	112.91	64.37	31.16	54.92	33.33	37.48	69.6	64.62	30.08	89.63	40.01	37.13	52.42	59.11	48.3	62.73	64.77
4.75	5.75	95.76	69.05	232.87	129.15	133.41	237.14	421.12	91.93	71.18	33.75	48.22	46.87	47.74	80.49	76.86	28.87	134.18	53.97	49.27	68.98	87.7	52.98	66.53	78.58
4.75	6.25	77.88	74.34	250.25	148.68	127.96	125.64	345.44	65.34	60	34.03	50.19	53.15	70.22	81.55	79.92	31.04	165.01	73.94	66.19	79.17	106.36	52.44	52.49	72
4.75	6.75	77.3	75.4	188.22	163.9	131.86	112.16	189.34	62.71	53.45	35.99	58.63	52.81	76.86	83.6	79.88	29.8	165.46	72.74	66.7	69.16	94.92	50.17	48.66	67.29
4.75	7.25	89.32	60.76	125.52	121.23	123.3	99.4	117.07	56.64	53.48	32.83	51.02	51.4	67.59	86.02	73.32	28.16	152.53	70.19	61.62	49.49	68.11	49.39	60.67	61.6
4.75	7.75	115.21	127.49	93.54	71.72	80.98	111.02	90.16	61.97	59.55	52.99	48.41	56.48	56.32	83.12	65.72	37.19	135.68	76.98	63.26	45.38	39.24	55.39	88.84	59.69
4.75	8.25	169.22	172.76	162.41	84.62	80.94	141.94	111.87	73.67	76.3	64.73	57.14	73.62	86.51	75.06	61.26	48.02	128.94	99.49	76.96	63.36	42.42	79.01	79.59	69.33
4.75	8.75	118.84	216.01	228.76	157.18	174.59	158.38	143.11	149.93	128.4	69.75	83.79	94.38	135.44	72.15	62.78	58.64	150.87	139.72	101.1	66.79	57.32	88.33	131.04	112.81
4.75	9.25	155.24	181.56	203.97	115.93	115.69	155.96	118.3	102.76	96.5	53.54	72.58	86	104.6	66.18	59.27	51.49	133.44	124.18	92.73	67.92	54.26	86.37	107.05	85.59
4.75	9.75	84.85	144.56	161.79	98.88	107.95	113.24	106.1	110.63	99.33	52.23	61.95	77.94	105.92	56.01	49.84	44.79	114.15	102.96	79.65	54.76	47.52	70.96	96.76	85.55
4.75	10.25	54.24	111.41	116.88	89.18	84.19	68.8	95.83	95.7	95.82	41.48	42.92	61.71	91.16	41.71	35.68	33.58	77.88	67.97	55.29	36.68	35.14	50.87	75.83	76.34
4.75	10.75	65.91	64.55	73.02	63.3	47.97	48.8	54.12	60.71	66.81	22.2	26.02	40.46	55.97	27.95	23.51	22.53	39.11	39.36	30.27	28.74	20.94	48.02	54.4	44.95
5.25	-16.75	48.23	48.39	116.55	103.03	115.36	79.31	54.31	34.98	43.89	40.97	44.21	26.32	43.93	41.31	34.69	37.97	25.69	37.18	38.61	36.46	41.53	40.41	38.41	43.14
5.25	-16.25	59.96	58.77	106.64	76.39	122.36	89.06	52.15	31.34	49.56	48.52	48.67	29.25	44.87	40.9	35.55	35.28	27.92	43.96	34.51	37.82	51.2	44.19	36.4	46.2
5.25	-15.75	82.91	81.64	68.72	80.19	64.04	53.38	44.51	41.78	72.59	52.78	51.22	35.01	43.08	40.27	35.03	38.5	29.73	71.77	28.11	35.48	57.9	39.07	35.68	48.79
5.25	-15.25	108.1	68.97	76.92	89.85	62.11	54.01	42.32	54.6	81.49	53.26	50.84	39.36	41.51	40.75	33.76	39.04	29.99	69.22	28.59	31.68	59.83	39.29	32.27	48.6
5.25	-14.75	96.08	57.95	78.17	88.67	47.5	54.75	53	64.78	75.59	50.74	48.51	38.84	40.62	41.42	34.19	41.15	28.42	48.33	28.81	32.34	64.97	39.01	33.8	49.49
5.25	-14.25	57.52	47.52	70.23	64.2	42.74	64.65	54.36	70.09	59.26	45.24	44.89	34.38	40.25	41.47	33.73	48.61	25.02	48.9	27.61	32.54	68.62	37	35.11	54.53
5.25	-13.75	58.21	54.3	81.78	51.13	67.62	52.4	47.57	70.34	45.99	49.14	40.3	34.21	39.52	40.21	37.73	55.92	23.43	61.74	24.95	31.55	73.39	38.68	35.7	55.47
5.25	-13.25	48.18	56.66	102.47	94.96	89.26	75.13	40.66	57.01	69.18	52.06	33.28	33.81	36.37	34.63	38.46	51.21	25.89	60.11	25.39	29.2	69.2	34.85	33.13	47.28
5.25	-12.75	55.23	52.73	68.45	100	87.16	137.22	38.96	73.23	82.09	50.13	24.51	34.01	27.29	32.39	50.41	45.96	22.08	46.35	20.05	21.16	48.54	27.46	43.52	45.81
5.25	-12.25	58.75	59.49	57.92	96.24	101.42	162.6	33.61	85.9	90.57	53.85	26.48	48.13	27.02	36.96	70.79	47.32	16.5	56.45	11.68	18.45	34.57	24.65	50.75	54.66
5.25	-11.75	54.33	60.56	50.83	89.75	93.57	160.52	25.94	85.3	90.02	60.62	27.46	59.42	28.39	38.65	83.78	58.34	15.19	69.2	10.4	20.94	33.4	21.02	51.78	61.97
